Motion,SSIM,Brightness
0.0094,0.9772,98.77
0.0169,0.9752,98.68
0.0184,0.9732,98.65
0.0158,0.9761,98.67
0.017,1.0,98.65
0.0153,0.9757,98.58
0.0008,0.978,98.57
0.0227,0.9617,97.63
0.0592,0.9196,97.75
0.1151,0.7869,91.41
0.1961,0.7715,86.63
0.0549,0.9401,85.61
0.0422,0.9422,85.76
0.0468,0.9263,84.69
0.0628,0.8793,81.47
0.1302,0.7494,71.05
0.2186,0.4361,28.72
0.1478,0.8534,30.41
0.1344,0.8363,33.38
0.0,1.0,88.01
0.0558,1.0,85.78
0.0189,1.0,87.77
0.0112,1.0,87.97
0.0142,1.0,87.78
0.0229,1.0,87.85
0.0171,0.9342,87.86
0.0132,0.9342,87.89
0.0104,0.9342,87.93
0.0076,0.9342,87.97
0.011,0.9342,87.96
0.0102,0.9342,87.97
0.0094,0.9343,88.01
0.0122,0.9343,88.0
0.0108,0.9343,87.92
0.0085,0.9343,87.86
0.0091,0.9343,87.88
0.0093,0.9343,87.87
0.0089,0.9349,87.88
0.0101,0.9349,87.9
0.0104,0.9349,87.97
0.0089,0.9349,87.94
0.0105,0.9349,87.91
0.01,0.9349,87.92
0.012,0.9353,87.94
0.0099,0.9353,87.99
0.0099,0.9353,87.95
0.0105,0.9353,87.87
0.0071,0.9353,87.82
0.0153,0.9353,87.74
0.01,0.9349,87.88
0.0151,0.9349,83.07
0.1469,0.9349,34.96
0.0937,0.9349,38.82
0.207,0.9349,75.87
0.2099,0.9349,38.85
0.1341,0.4838,33.71
0.2069,0.4838,74.55
0.2241,0.4838,41.95
0.1554,0.4838,39.8
0.2102,0.4838,72.42
0.1863,0.4838,61.13
0.2641,0.5134,40.55
0.1857,0.5134,17.5
0.1061,0.5134,10.88
0.0836,0.5134,11.76
0.0785,0.5134,12.05
0.0482,0.5134,12.22
0.0808,0.2927,12.41
0.0756,0.2927,12.61
0.0979,0.2927,11.91
0.0831,0.2927,12.21
0.0866,0.2927,12.7
0.0875,0.2927,12.99
0.0752,0.2952,12.74
0.0592,0.2952,13.01
0.0296,0.2952,13.13
0.0841,0.2952,13.04
0.0871,0.2952,13.52
0.11,0.2952,14.9
0.129,0.346,18.48
0.1188,0.346,16.27
0.0878,0.346,17.77
0.1015,0.346,21.85
0.1792,0.346,74.08
0.0738,0.346,81.49
0.0488,0.9308,84.14
0.0544,0.9308,83.78
0.0416,0.9308,83.91
0.0374,0.9308,84.4
0.0366,0.9308,84.4
0.0362,0.9308,85.06
0.0209,0.9398,85.03
0.0404,0.9398,84.52
0.0407,0.9398,83.87
0.0397,0.9398,84.08
0.0392,0.9398,84.85
0.0277,0.9398,85.01
0.038,0.9378,84.54
0.1206,0.9378,4.28
0.0,0.9378,4.44
0.0,0.9378,4.57
0.0,0.9378,4.58
0.0,0.9378,4.67
0.0,0.1668,4.7
0.0,0.1668,4.66
0.0,0.1668,4.64
0.0,0.1668,4.59
0.0836,0.1668,35.88
0.1567,0.1668,37.68
0.1669,0.4683,35.26
0.1259,0.4683,34.73
0.1362,0.4683,33.18
0.1164,0.4683,32.14
0.114,0.4683,32.15
0.1165,0.4683,33.0
0.1054,0.4568,34.19
0.1563,0.4568,35.86
0.1829,0.4568,39.38
0.1628,0.4568,36.45
0.1742,0.4568,34.48
0.1196,0.4631,34.38
0.1307,0.4631,34.36
0.0787,0.4631,34.21
0.0819,0.4631,34.13
0.0727,0.4631,34.36
0.1026,0.4631,34.81
0.0844,0.4683,34.83
0.1144,0.4683,34.28
0.0691,0.4683,34.16
0.0123,0.4683,34.19
0.1194,0.4683,34.05
0.1098,0.4683,34.31
0.0476,0.4645,34.4
0.1011,0.4645,35.71
0.1317,0.4645,36.03
0.1944,0.4645,59.19
0.1413,0.4645,87.79
0.0443,0.4645,82.8
0.28,0.5692,44.17
0.2473,0.5692,34.47
0.1352,0.5692,26.7
0.0887,0.5692,25.83
0.0922,0.5692,23.79
0.1135,0.5692,24.2
0.0922,0.4277,20.64
0.0732,0.4277,17.42
0.0559,0.4277,25.47
0.2316,0.4277,56.81
0.3257,0.4277,49.9
0.2828,0.4277,52.43
0.3394,0.5973,48.69
0.2564,0.5973,48.3
0.2545,0.5973,48.48
0.2988,0.5973,48.12
0.1887,0.5973,48.36
0.1482,0.5973,48.41
0.2737,0.5926,48.22
0.2666,0.5926,48.28
0.281,0.5926,46.47
0.2625,0.5926,46.39
0.232,0.5926,79.21
0.1201,0.5926,78.68
0.0955,0.7519,78.58
0.0861,0.7519,78.26
0.0922,0.7519,78.78
0.1022,0.7519,78.92
0.1062,0.7519,79.42
0.0942,0.7519,80.27
0.1421,0.7965,84.85
0.1396,0.7965,87.58
0.0896,0.7965,83.68
0.0781,0.7965,82.15
0.0977,0.7965,82.1
0.0978,0.7965,82.82
0.1249,0.8267,87.4
0.116,0.8267,90.78
0.0951,0.8267,90.82
0.0995,0.8267,90.75
0.1005,0.8267,90.75
0.0958,0.8267,90.75
0.0942,0.839,90.75
0.0757,0.839,90.76
0.0358,0.839,90.69
0.072,0.839,90.76
0.0863,0.839,90.71
0.0741,0.839,90.58
0.0945,0.8405,90.62
0.0258,0.8405,90.7
0.0831,0.8405,90.67
0.0922,0.8405,90.62
0.0924,0.8405,90.59
0.0423,0.8405,90.63
0.0828,0.8435,90.62
0.081,0.8435,90.56
0.0116,0.8435,90.58
0.026,0.8435,90.56
0.0604,0.8435,90.58
0.0515,0.8435,90.65
0.083,0.8443,90.57
0.0538,0.8443,90.59
0.0317,0.8443,90.64
0.0437,0.8443,90.6
0.0677,0.8443,90.61
0.0484,0.8443,90.64
0.0096,0.8454,90.65
0.0603,0.8454,90.65
0.0139,0.8454,90.66
0.0123,0.8454,90.66
0.0451,0.8454,90.63
0.0781,0.8454,90.64
0.0506,0.8464,90.61
0.0402,0.8464,90.59
0.0562,0.8464,90.6
0.0155,0.8464,90.61
0.0539,0.8464,90.59
0.0361,0.8464,90.57
0.0093,0.8476,90.54
0.0786,0.8476,90.03
0.0654,0.8476,87.03
0.0386,0.8476,87.62
0.0357,0.8476,87.61
0.0496,0.8476,87.23
0.066,0.8193,87.11
0.0851,0.8193,87.1
0.0946,0.8193,87.08
0.3056,0.8193,56.71
0.3146,0.8193,53.13
0.3321,0.8193,50.74
0.3173,0.6114,49.29
0.2105,0.6114,48.5
0.3028,0.6114,48.2
0.3049,0.6114,47.83
0.269,0.6114,47.3
0.264,0.6114,46.97
0.2609,0.5991,46.42
0.2413,0.5991,34.62
0.1608,0.5991,28.87
0.1435,0.5991,26.57
0.103,0.5991,25.34
0.109,0.5991,25.84
0.0977,0.4721,26.41
0.1049,0.4721,26.11
0.0722,0.4721,26.05
0.0964,0.4721,26.18
0.1186,0.4721,26.26
0.107,0.4721,26.63
0.1023,0.4682,26.54
0.1057,0.4682,26.14
0.0953,0.4682,25.87
0.1097,0.4682,26.06
0.1158,0.4682,26.25
0.1151,0.4682,26.51
0.1013,0.472,26.54
0.1135,0.472,26.86
0.0909,0.472,26.5
0.0951,0.472,26.87
0.1051,0.472,27.87
0.1203,0.472,27.37
0.1095,0.4652,25.72
0.101,0.4652,25.78
0.0982,0.4652,26.15
0.1134,0.4652,26.91
0.1136,0.4652,27.62
0.1079,0.4652,28.51
0.254,0.762,79.19
0.1246,0.762,88.76
0.0327,0.762,88.92
0.0349,0.762,89.06
0.035,0.762,88.94
0.0287,0.762,88.97
